"val";"name"
4,5;"Powiat ³owicki"
3,2;"Powiat rawski"
3,5;"Powiat skierniewicki"
5,5;"Powiat m.Skierniewice"
7,7;"Powiat kielecki"
9,9;"Powiat konecki"
8,8;"Powiat ostrowiecki"
15,6;"Powiat skar¿yski"
8,6;"Powiat starachowicki"
5,4;"Powiat m.Kielce"
3,3;"Powiat buski"
6,1;"Powiat jêdrzejowski"
7,3;"Powiat kazimierski"
12,3;"Powiat opatowski"
6,1;"Powiat piñczowski"
6,5;"Powiat sandomierski"
5,8;"Powiat staszowski"
6;"Powiat w³oszczowski"
9;"Powiat bialski"
6,4;"Powiat parczewski"
6,3;"Powiat radzyñski"
14,5;"Powiat w³odawski"
9,1;"Powiat m.Bia³a Podlaska"
4,4;"Powiat bi³gorajski"
10,5;"Powiat che³mski"
11,7;"Powiat hrubieszowski"
10,8;"Powiat krasnostawski"
6,4;"Powiat tomaszowski"
8,2;"Powiat zamojski"
9,4;"Powiat m.Che³m"
8,7;"Powiat m.Zamoœæ"
10,4;"Powiat lubartowski"
4,8;"Powiat lubelski"
4,9;"Powiat ³êczyñski"
8,5;"Powiat œwidnicki"
5,3;"Powiat m.Lublin"
8,5;"Powiat janowski"
8,3;"Powiat kraœnicki"
3,4;"Powiat ³ukowski"
7,4;"Powiat opolski"
5,5;"Powiat pu³awski"
6,2;"Powiat rycki"
13,5;"Powiat bieszczadzki"
14,5;"Powiat brzozowski"
10,3;"Powiat jasielski"
5,6;"Powiat kroœnieñski"
6,1;"Powiat sanocki"
14,1;"Powiat leski"
2,5;"Powiat m.Krosno"
10,2;"Powiat jaros³awski"
8,3;"Powiat lubaczowski"
12,8;"Powiat przemyski"
11,1;"Powiat przeworski"
10,7;"Powiat m.Przemyœl"
7,2;"Powiat kolbuszowski"
10,1;"Powiat ³añcucki"
11,4;"Powiat ropczycko-sêdziszowski"
7,6;"Powiat rzeszowski"
13;"Powiat strzy¿owski"
5,1;"Powiat m.Rzeszów"
4,3;"Powiat dêbicki"
13,2;"Powiat le¿ajski"
4,7;"Powiat mielecki"
14,7;"Powiat ni¿añski"
5;"Powiat stalowowolski"
7;"Powiat tarnobrzeski"
8,2;"Powiat m.Tarnobrzeg"
8,8;"Powiat bia³ostocki"
9,9;"Powiat sokólski"
6,5;"Powiat m.Bia³ystok"
3,7;"Powiat bielski"
7,3;"Powiat hajnowski"
13;"Powiat kolneñski"
4,3;"Powiat ³om¿yñski"
5,7;"Powiat siemiatycki"
5,2;"Powiat wysokomazowiecki"
5,7;"Powiat zambrowski"
6,4;"Powiat m.£om¿a"
9,4;"Powiat augustowski"
11,2;"Powiat grajewski"
6,1;"Powiat moniecki"
11,2;"Powiat sejneñski"
3,7;"Powiat suwalski"
5,2;"Powiat m.Suwa³ki"
1,9;"Powiat m. st. Warszawa"
7,5;"Powiat legionowski"
4,7;"Powiat miñski"
4,2;"Powiat otwocki"
7,5;"Powiat wo³omiñski"
3,5;"Powiat grodziski"
6,3;"Powiat nowodworski"
3,3;"Powiat piaseczyñski"
3,1;"Powiat pruszkowski"
2;"Powiat warszawski zachodni"
8;"Powiat ciechanowski"
5,3;"Powiat m³awski"
10,1;"Powiat p³oñski"
12,8;"Powiat pu³tuski"
12,8;"Powiat ¿uromiñski"
15,9;"Powiat makowski"
9;"Powiat ostro³êcki"
8,7;"Powiat ostrowski"
8,3;"Powiat przasnyski"
3,4;"Powiat wyszkowski"
7,9;"Powiat m.Ostro³êka"
7,4;"Powiat bia³obrzeski"
9,8;"Powiat kozienicki"
9,3;"Powiat lipski"
14,9;"Powiat przysuski"
15,4;"Powiat radomski"
22,1;"Powiat szyd³owiecki"
10,5;"Powiat zwoleñski"
10,4;"Powiat m.Radom"
11,4;"Powiat gostyniñski"
10,4;"Powiat p³ocki"
12;"Powiat sierpecki"
6,2;"Powiat m.P³ock"
9;"Powiat garwoliñski"
4,7;"Powiat ³osicki"
4,5;"Powiat siedlecki"
5,1;"Powiat soko³owski"
5,7;"Powiat wêgrowski"
4,2;"Powiat m.Siedlce"
2,2;"Powiat grójecki"
3,7;"Powiat sochaczewski"
9,4;"Powiat ¿yrardowski"
